Date,Category,SubCategory,Region,Sales,Profit,Quantity
2025-01-15,Electronics,Phones,East,500.0,150.0,2
2025-01-20,Furniture,Chairs,West,350.0,45.0,3
2025-02-10,Office Supplies,Paper,Central,45.0,20.0,5
2025-02-15,Electronics,Laptops,East,1200.0,350.0,1
2025-03-05,Furniture,Tables,South,600.0,-50.0,1
2025-03-12,Office Supplies,Binders,West,80.0,35.0,4
2025-04-18,Electronics,Phones,Central,450.0,120.0,2
2025-04-22,Furniture,Chairs,East,280.0,30.0,2
2025-05-02,Office Supplies,Paper,South,30.0,12.0,3
2025-05-15,Electronics,Laptops,West,1500.0,450.0,1
2025-06-10,Furniture,Tables,Central,750.0,-80.0,2
2025-06-25,Office Supplies,Binders,East,120.0,50.0,5
2025-07-04,Electronics,Phones,South,380.0,95.0,2
2025-07-20,Furniture,Chairs,West,320.0,40.0,3
2025-08-05,Office Supplies,Paper,East,55.0,25.0,6
2025-08-14,Electronics,Laptops,Central,1100.0,300.0,1
2025-09-18,Furniture,Tables,South,850.0,-120.0,1
2025-09-22,Office Supplies,Binders,West,95.0,40.0,3
2025-10-05,Electronics,Phones,East,650.0,200.0,3
2025-10-15,Furniture,Chairs,Central,410.0,65.0,4
2025-11-12,Office Supplies,Paper,South,40.0,18.0,4
2025-11-20,Electronics,Laptops,East,1350.0,400.0,1
2025-12-05,Furniture,Tables,West,900.0,-100.0,2
2025-12-18,Office Supplies,Binders,Central,150.0,70.0,6
2025-12-25,Electronics,Phones,South,520.0,160.0,2
