text,category,priority,location
led street light needs replacement in rtc bus stand.,Street Lighting,Medium,RTC Bus Stand
no power supply to bose nagar area for several days.,Electricity,Medium,Bose Nagar
stretch of road near Dilsukhnagar is damaged and dangerous.,Roads,High,Dilsukhnagar
Pot holes in Dilsukhnagar area destroying vehicles.,Roads,Medium,Dilsukhnagar
Street lights remain ON during daytime in main junction wasting electricity.,Street Lighting,Medium,main junction
Road near Jubilee Hills has large cracks and is sinking.,Roads,High,Jubilee Hills
flooding in anna nagar due to inadequate drainage.,Drainage,High,Anna Nagar
Manhole open in Ward 7 road is dangerous.,Drainage,Medium,Ward 7
garbage bins in near government hospital are overflowing.,Sanitation,High,near government hospital
Electricity supply disrupted for several days in Anna Nagar.,Electricity,Medium,Anna Nagar
Drainage work done but not completed in Bhagath Singh Nagar.,Drainage,Medium,Bhagath Singh Nagar
our entire street has been without water since 2 weeks.,Water Supply,Medium,Jubilee Hills
Open drain in near government hospital causing mosquito breeding.,Drainage,Low,near government hospital
street light pole broken near ward 7.,Street Lighting,Medium,Ward 7
Power cuts happening frequently in LB Nagar!,Electricity,Medium,LB Nagar
high voltage sparks from wire near near railway station.,Electricity,Critical,near railway station
water tanker not coming for 10 days to indira nagar.,Water Supply,Medium,Indira Nagar
Flooding in Lakshmi Puram due to inadequate drainage.,Drainage,High,Lakshmi Puram
Water supply cut without notice in Dilsukhnagar area.,Water Supply,Medium,Dilsukhnagar
No water coming from tap for 1 week in Gandhi Nagar!,Water Supply,High,Gandhi Nagar
No dustbins provided in Dilsukhnagar market area!,Sanitation,Low,Dilsukhnagar
garbage vehicle not coming to begumpet since last tuesday.,Sanitation,Medium,Begumpet
Street light pole broken near Anna Nagar.,Street Lighting,Medium,Anna Nagar
Many potholes on the main road in LB Nagar causing accidents!,Roads,High,LB Nagar
No potable water available in Indira Nagar ward.,Water Supply,Medium,Indira Nagar
Dustbin near Bhagath Singh Nagar is full and not cleared for last Tuesday.,Sanitation,Medium,Bhagath Singh Nagar
